3Q2023-EXCEL,,,,,
DMF#,STATUS,TYPE,SUBMIT DATE,HOLDER,SUBJECT
15946,I,II,4/22/2002,MITSUBISHI TANABE PHARMA CORP,MCI-196 DRUG SUBSTANCE
15947,I,II,4/22/2002,LEK PHARMACEUTICAL AND CHEMICAL CO DD,OMEPRAZOLE ACTIVE DRUG SUBSTANCE
15948,I,II,4/4/2002,BOC MICRO APPLICATIONS CENTRE,MICRO-CYLINDER PRESSURISED GAS CAPSULE
15949,I,II,4/8/2002,SCINOPHARM TAIWAN LTD,OMEPRAZOLE USP
15950,I,II,4/23/2002,KUNSHAN DOUBLE CRANE PHARMACEUTICAL CO LTD,SULFAMETHOXAZOLE
15951,A,IV,4/26/2002,DAIKIN REFRIGERANTS FRANKFURT GMBH,NORFLURANE
15952,I,II,4/26/2002,JOHNSON MATTHEY INC,RAC-AMPHETAMINE ADIPATE
15953,I,II,4/26/2002,JOHNSON MATTHEY INC,D-AMPHETAMINE ADIPATE
15954,I,III,4/3/2002,NYPRO INC,METERED DOSE INHALER (MDI) AND SALAMOL EASI-BREATHE (R) CFC FREE
15955,I,III,4/5/2002,SOLVIN SA,DIOFAN A236
15956,I,II,4/25/2002,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,VINORELBINE TARTRATE USP
15957,I,IV,4/29/2002,BIOCODE INC,PROPRIETARY TRACERS
15958,A,II,4/29/2002,TEVA PHARMACEUTICAL INDUSTRIES LTD,ZOLPIDEM TARTRATE 
15959,A,II,4/28/2002,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,CYTARABINE USP
15960,I,II,4/26/2002,RECORDATI ESPANA SL,KETOCONAZOLE
15961,I,II,4/30/2002,XIAN HIGH TECH INDUSTRIES CO LTD,PACLITAXEL
15962,I,II,5/1/2002,TEVA PARENTERAL MEDICINES INC,STERILE WATER FOR INJECTION USP
15963,I,II,4/30/2002,ACE JAPAN CO LTD,PINDOLOL
15964,I,II,5/3/2002,EXEKIA THE AMERICAS,CERAMIC ULTRA-FILTRATION AND MICRO-FILTRATION MEMBRANES
15965,I,II,5/7/2002,SAFC BIOSCIENCES INC,EX-CELL (TM) VPRO 
15966,I,II,4/29/2002,SYN-TECH CHEM AND PHARM CO LTD,METOPROLOL SUCCINATE USP
15967,A,III,4/16/2002,FPC FLEXIBLE PACKAGING CORP,PAPER/POLYESTER/FOIL/POLYETHYLENE POUCH 
15968,I,III,5/2/2002,BERRY PLASTICS CORP TAPES AND COATINGS DIV,65 GA PVDC COATED POLYPROPYLENE/1.0# ADHESIVE/1.25 MIL EAA COEX
15969,I,II,5/6/2002,BORREGAARD AS BORREGAARD SYNTHESIS,REDUCED ALKYLATED IMIDAZOLE
15970,I,III,4/26/2002,CLARIANT AUSTRALIA PTY LTD,CUSTOM COLOR/ADDITIVE CONCENTRATES FOR USE IN PLASTIC PRODUCTS AND PACKAGING
15971,A,II,5/6/2002,ASH STEVENS INC,ANAGRELIDE HYDROCHLORIDE MONOHYDRATE
15972,A,II,5/2/2002,TEVA PHARMACEUTICAL INDUSTRIES LTD,AZITHROMYCIN DIHYDRATE
15973,I,II,5/10/2002,CHANGZHOU SPL CO,HEPARIN SODIUM USP
15974,A,II,5/10/2002,AVANTOR PERFORMANCE MATERIALS LLC,SODIUM PHOSPHATE DIBASIC USP
15975,A,III,5/7/2002,QENOS PTY LTD,ALKATANE® GF7660 
15976,A,II,5/10/2002,ACS DOBFAR SPA,"PENICILLIN G POTASSIUM FOR INJECTION, USP (STERILE BULK)"
15977,I,II,5/13/2002,WOCKHARDT LTD,FEXOFENADINE HYDROCHLORIDE
15978,I,II,5/13/2002,SKYEPHARMA PRODUCTION SAS,"NK-104 TABLETS, 4 AND 8 MG"
15979,I,II,5/10/2002,UNION QUIMICO FARMACEUTICA SA (UQUIFA SA),FLUOROSULFONYLETHANONE
15980,I,II,5/13/2002,PHLOX PHARMACEUTICALS LTD,"CEFUROXIME AXETIL, USP (AMORPHOUS)"
15981,I,II,4/30/2002,SAFC INC,"CALCITRIOL, EP"
15982,I,II,5/20/2002,DAIWA CHEMICAL CO LTD,5-ASA CRUDE (5-AMINOSALICYLIC ACID CRUDE)
15983,A,II,5/24/2002,PISGAH LABS INC,ETOMIDATE
15984,I,II,5/23/2002,ALPHA DRUG INDIA LTD,TRIMETHOPRIM
15985,A,II,5/28/2002,TEVA PHARMACEUTICAL INDUSTRIES LTD,AZITHROMYCIN N
15986,A,II,5/24/2002,CHATTEM CHEMICALS INC,"BUTALBITAL, USP"
15987,I,III,5/22/2002,CCC PLASTICS,PURPLE VIOLET MB 50-5021 POLYPROPYLENE COLOUR CONCENTRATE
15988,A,III,5/28/2002,FORMOSA PLASTICS CORP USA,FORMOLENE POLYPROPYLENE
15990,A,II,5/27/2002,SCINOPHARM TAIWAN LTD,ONDANSETRON HYDROCHLORIDE USP
15991,I,II,5/31/2002,DAIICHI SANKYO EUROPE GMBH,CS-866-HYDROCHLOROTHIAZIDE TABLETS (CS-866HCTZ)
15992,I,IV,6/3/2002,CARDINAL HEALTH CANADA 403 INC,VEGICAPS TWO PIECE EMPTY HARDSHELL CELLULOSE CAPSULE
15993,I,III,5/30/2002,3M ENGINEERED ADHESIVES DIV,"NON-CLINICAL DATA FOR N,N-DIETHYL-META-TOLUAMIDE"
15994,I,II,6/5/2002,FAKO ILACLARI AS,RANITIDINE HYDROCHLORIDE FORM II
15995,A,II,5/18/2002,SUN PHARMACEUTICAL INDUSTRIES LTD,METOPROLOL TARTRATE USP 
15996,A,II,5/20/2002,LUPIN LTD,CEFIXIME USP
15997,A,III,6/3/2002,BISCHOF AND KLEIN SE AND CO KG,PACKAGING FOR PHARMACEUTICAL PRODUCTS
15998,I,II,6/3/2002,ASKA PHARMACEUTICAL CO LTD,TZT-1027 DRUG SUBSTANCE
15999,A,III,6/5/2002,KINDEVA DRUG DELIVERY LP,COATED ALUMINIUM CANISTERS
16000,A,II,6/10/2002,HIKMA PHARMACEUTICALS,PREDNISONE ANHYDROUS USP
16001,I,II,6/10/2002,XIAN LIBANG PHARMACEUTICAL CO LTD,METOLAZONE USP
16002,A,II,6/6/2002,SUN PHARMACEUTICAL INDUSTRIES LTD,TRAMADOL HYDROCHLORIDE USP
16003,I,IV,1/14/2002,GRAIN PROCESSING CORP,POLYALDITOL
16004,I,V,2/7/2002,GRAIN PROCESSING CORP,TOXICOLOGICAL STUDIES ON DRY POLYALDITOL PRODUCTS
16005,I,II,6/13/2002,GLAXOSMITHKLINE LLC,CLAVULANATE POTASSIUM STERILE BULK
16006,A,II,6/13/2002,INDUSTRIALE CHIMICA SRL,MIDODRINE HYDROCHLORIDE
16007,A,II,6/11/2002,NEULAND LABORATORIES LTD,MIRTAZAPINE
16008,A,II,6/11/2002,HETERO DRUGS LTD,FOSINOPRIL SODIUM
16009,A,II,6/11/2002,DR REDDYS LABORATORIES LTD,SERTRALINE HYDROCHLORIDE (FORM II)
16010,A,II,6/11/2002,DR REDDYS LABORATORIES LTD,FINASTERIDE USP (FORM III)
16011,I,II,6/14/2002,JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD,VINORELBINE TARTRATE USP 
16012,I,II,6/17/2002,DSM PHARMA CHEMICALS NETHERLANDS BV,CAFOX
16013,I,II,6/20/2002,MITSUBISHI PHARMA CORP,MKC-231 DRUG SUBSTANCE
16014,I,II,6/20/2002,ANGELINI ACRAF SPA,MIRTAZAPINE
16015,I,III,6/12/2002,MAC CLOSURES INC,FLIP TOP CHILD RESISTANT COMPACT
16016,I,III,5/22/2002,CCC PLASTICS,BLUE AQUA MB 20-6731 POLYETHYLENE COLOUR CONCENTRATE
16017,A,II,6/21/2002,EDMOND PHARMA SRL,MIDODRINE HYDROCHLORIDE
16018,I,III,6/14/2002,LITOFAN SA,PACKAGING MATERIAL
16019,A,II,6/21/2002,CURIA NEW YORK INC,AMPHETAMINE SULFATE USP
16020,A,II,6/21/2002,CURIA NEW YORK INC,AMPHETAMINE ASPARTATE
16021,A,II,6/21/2002,CURIA NEW YORK INC,DEXTROAMPHETAMINE SULFATE USP
16022,A,II,6/21/2002,CURIA NEW YORK INC,DEXTROAMPHETAMINE SACCHARATE
16023,I,II,6/20/2002,DR REDDYS LABORATORIES LTD,RISPERIDONE EP
16024,A,II,6/24/2002,CIPLA LTD,ANAGRELIDE HYDROCHLORIDE MONOHYDRATE USP
16025,I,II,5/28/2002,CADILA PHARMACEUTICALS LTD,LORATIDINE
16026,A,III,6/21/2002,TEKNOR COLOR CO, EPE-444 FDA WHITE
16027,I,II,6/21/2002,CADILA PHARMACEUTICALS LTD,LORATIDINE SPECIAL
16028,I,III,5/29/2002,DUPONT POLYESTER TECHNOLOGIES DUPONT UK LTD,MELINAR(R) LASER+
16029,A,II,6/20/2002,DIPHARMA FRANCIS SRL,FEXOFENADINE HYDROCHLORIDE USP
16030,I,II,6/24/2002,PHARMACOSMOS AS,IRON(III)-HYDROXIDE OLIGOSACCHARIDE COMPLEX
16031,I,II,6/26/2002,RANBAXY LABORATORIES LTD,PRAVASTATIN SODIUM
16032,I,II,6/25/2002,BIOSEPRA SA,DEAE SPHERODEX LS VV
16033,I,II,6/28/2002,GILEAD SCIENCES INC,LIPOSOMAL OSI-7904 FOR INJECTION (OSI-7904L)
16034,I,II,6/27/2002,ELAN DRUG DELIVERY INC,OCINAPLON TABLETS
16035,A,II,6/26/2002,PROCOS SPA,PYRIDOSTIGMINE BROMIDE
16036,I,II,6/20/2002,ACS DOBFAR SPA,7-ADCA (7-AMINO-3-DESACETOXY CEPHALOSPORANIC ACID)
16037,A,IV,7/3/2002,SPI PHARMA INC,PHARMABURST® B SERIES PRODUCTS
16038,A,II,6/27/2002,FORMOSA LABORATORIES INC,LEFLUNOMIDE
16039,I,I,7/3/2002,ALDRICH CHEMICAL CO INC,3-AMINO-1-PROPANESULFONIC ACID
16040,A,III,7/1/2002,POLYONE CORP,COLORANTS PRODUCT NO. CC00021366WE
16041,A,III,7/2/2002,AVIENT CORP,UV ABSORBER PRODUCT NO. CC00012617WE
16042,A,III,7/2/2002,AVIENT CORP,UV ABSORBER PRODUCT NO. CC00012601WE
16043,I,II,7/8/2002,RANBAXY LABORATORIES LTD,GANCICLOVIR
16044,A,II,7/8/2002,MOEHS IBERICA SL,CARVEDILOL
16045,I,II,7/11/2002,ARCH PHARMALABS LTD,CITALOPRAM HYDROBROMIDE
16046,A,III,7/10/2002,GERRESHEIMER HORSOVSKY TYN SPOL SRO,PULMICORT FLEXHALER
16047,A,II,7/11/2002,UQUIFA MEXICO SA DE CV,METFORMIN HYDROCHLORIDE
16048,A,II,7/12/2002,BIOCON LTD,PRAVASTATIN SODIUM USP
16049,A,II,7/12/2002,BIOCON LTD,COMPACTIN
16050,I,II,7/9/2002,MALLINCKRODT INC,"POTASSIUM IODIDE USP GRANULAR FOOD GRADE, CODE 1112 AND POTASSIUM IODIDE BP IODURE DE POTASSIUM, CODE 1220"
16051,I,IV,7/8/2002,DAVID MICHAEL AND CO INC,ARTIFICIAL GRAPE FLAVOR #21126
16052,A,II,7/15/2002,CURIA ITALY SRL,PANCURONIUM BROMIDE
16053,A,II,6/27/2002,CHEMWERTH INC,ESMOLOL HCL
16054,I,III,7/15/2002,TOKYO KOBUNSHI CO LTD,SILICONE COATING PROCESS
16055,A,II,7/19/2002,TRIFARMA SPA,PROCHLORPERAZINE EDISYLATE USP 
16056,A,II,7/22/2002,PANION AND BF BIOTECH INC,FERRIC CITRATE
16057,I,II,7/18/2002,PHARMACIA AND UPJOHN SUB PFIZER INC,IDARUBICIN HYDROCHLORIDE
16058,A,II,6/28/2002,KREATIVE ORGANICS PRIVATE LTD,BISACODYL USP
16059,A,II,7/15/2002,SUMITOMO PHARMA CO LTD,SM-13496
16060,A,II,7/24/2002,HIKAL LTD,GABAPENTIN USP
16061,I,II,7/22/2002,WOCKHARDT BIO AG,OXYBUTYNIN CHLORIDE USP
16062,A,III,7/25/2002,PLASTIAPE SPA,MONODOSE INHALER MODEL 5
16063,A,II,7/19/2002,HAS HEALTHCARE ADVANCED SYNTHESIS SA,PALONOSETRON HYDROCHLORIDE USP
16064,I,IV,7/25/2002,DAVID MICHAEL AND CO INC,NATURAL PEPPERMINT FLAVOR #15318
16065,I,II,7/25/2002,PCAS,FENOFIBRATE
16066,I,IV,7/10/2002,DMV INTERNATIONAL GMBH,RESPITOSE AN001
16067,I,IV,7/22/2002,UNGERER AND CO,ARTIFICIAL MASKING AGENT FL FI-5576
16068,I,IV,7/22/2002,UNGERER AND CO,N/A TROPICAL PUNCH BASE 40709
16069,I,IV,7/22/2002,UNGERER AND CO,N/A TROPICAL PUNCH FL FL-6182
16070,I,II,7/24/2002,AMRI ITALY SRL,B-WING
16071,I,II,7/30/2002,MITSUBISHI TANABE PHARMA CORP,MCC-257
16072,A,II,7/22/2002,SCINOPHARM TAIWAN LTD,BENAZEPRIL HYDROCHLORIDE USP
16073,I,II,7/29/2002,AVECIA BIOTECHNOLOGY INC,OLIGONUCLEOTIDE ANV
16074,A,III,7/17/2002,THE CHEMOURS CO FC LLC,TOPCOAT 3200-100
16075,I,II,7/25/2002,CADILA PHARMACEUTICALS LTD,CHLORHEXIDINE BASE
16076,I,II,7/31/2002,GLAXOSMITHKLINE LLC,TICARCILLIN DISODIUM BULK (STERILE )
16077,A,II,7/31/2002,KUREHA CORP,KREMEZIN DRUG SUBSTANCE
16078,A,III,7/18/2002,BERRY GLOBAL,NASAL PLUG AND SPRAY CAP
16079,A,II,7/30/2002,NIPPON SYNTHETIC CHEMICAL INDUSTRY CO LTD,HMN-214
16080,A,II,8/1/2002,AVANTI POLAR LIPIDS INC,"1,2-DIPALMITOYL-SN-GLYCERO-3-[PHOSPHO-RAC-(1-GLYCEROL)] (SODIUM SALT) (770255) "
16081,I,III,7/29/2002,CONSOLIDATED BOTTLE CORP,CAP & PLUG ASSEMBLY
16082,A,II,8/6/2002,SANDOZ GMBH,CEFTAZIDIME FOR INJECTION
16083,I,II,8/6/2002,SANDOZ INDUSTRIAL PRODUCTS SA,CLARITHROMYCIN (NON-STERILE BULK)
16084,I,II,8/5/2002,MEDICHEM SA,VENLAFAXINE HCL
16085,I,II,8/2/2002,SAFC INC,"2-METHYLENE-19-NOR-20-EPI-1A, 25-DIHYDDROXYVITAMIN D3"
16086,I,II,8/9/2002,PHARMACIA AND UPJOHN,DIHYDROFLUOCINOLONE ACETONIDE
16087,I,IV,8/6/2002,WILD FLAVORS INC,NATURAL PEPPERMINT FLAVOR WONF #FATEL649
16088,I,IV,8/7/2002,FONA INTERNATIONAL INC,"#877.242 N-C MINT ROOTBEER FLAVOR, NATURAL AND ARTIFICIAL"
16089,A,II,8/6/2002,HIKMA PHARMACEUTICALS,HYDROCORTISONE USP
16090,A,II,8/7/2002,DR REDDYS LABORATORIES LTD,CLOPIDOGREL BISULFATE [FORM-I] USP
16091,I,IV,8/6/2002,WILD FLAVORS INC,NATURAL ORANGE FLAVOR #FATEB893
16092,I,II,8/12/2002,ELAN DRUG DELIVERY INC,N1177 NANOCRYSTAL(R) COLLOIDAL DISPERSION
16093,I,II,8/9/2002,LIPOID GMBH,LIPOID FA 16:0
16094,I,II,8/12/2002,BIOCON LTD,SIMVASTATIN USP
16095,I,II,8/12/2002,BIOCON INDIA LTD,LOVASTATIN TECHNICAL(SFP)
16096,I,V,8/5/2002,PATHEON UK LTD SWINDON OPERATONS,"STERILE MANUFACTURING AT SWINDON, UNITED KINGDOM."
16097,I,II,8/12/2002,FINE CHEMICALS CORP PTY LTD,FLUPHENAZINE DECANOATE OIL(BMS)
16098,I,II,8/19/2002,RANBAXY LABORATORIES LTD,ATORVASTATIN CALCIUM(AMORPHOUS)
16099,I,II,8/15/2002,PATHEON API MANUFACTURING INC,METYROSINE USP
16100,I,III,7/10/2002,COLORS FOR PLASTICS INC,B19558
16101,A,III,8/20/2002,FORMOSA PLASTICS CORP USA,FORMOLON PVC RESINS
16102,I,II,8/19/2002,MALLINCKRODT INC,HYDROCODONE ALKALOID
16103,I,IV,8/21/2002,INGREDION INC,UNIPURE(TM) DW
16104,A,II,8/16/2002,NEULAND LABORATORIES LTD,ALBUTEROL USP
16105,I,II,8/21/2002,HEBEI ZHONGXING PHARMACEUTICAL CO LTD,7-AMINOCEPHALOSPORANIC ACID
16106,I,II,8/21/2002,SHIJIAZHUANG PHARMA GROUP HEBEI ZHONGRUN PHARMACEUTICAL CO LTD,PENICILLIN G POTASSIUM
16107,I,III,8/15/2002,DUPONT PERFORMANCE COATINGS GMBH CO KG,HERBERTS-1K-LF 190 X3
16108,A,II,8/21/2002,LUPIN LTD,CEFUROXIME AXETIL (AMORPHOUS) USP
16109,A,II,8/23/2002,CIPLA LTD,LEFLUNOMIDE USP
16110,A,II,8/22/2002,POLYPEPTIDE LABORATORIES INC,THYMOSIN-ALPHA 1 DRUG SUBSTANCE
16111,I,III,8/21/2002,AMPACET CORP,161367 USA INJ.DARK BLUE POLYPROPYLENE MASTERBATCH
16112,A,II,8/29/2002,ALEMBIC PHARMACEUTICALS LTD,LEFLUNOMIDE USP
16113,A,II,8/22/2002,SUN PHARMACEUTICAL INDUSTRIES LTD,MIRTAZAPINE USP [HEMIHYDRATE]
16114,I,IV,8/26/2002,HISAMITSU PHARMACEUTICAL CO INC,PIROTIODECANE (HPE-101)
16115,I,II,8/29/2002,CQ INTERNATIONAL CO INC,CAMPTOTHECIN
16116,A,III,8/20/2002,APTAR FRANCE SAS,APTAR EPDM ELASTOMER
16117,A,III,8/19/2002,GERRESHEIMER BOLESLAWIEC S A,"PLASTIC BOTTLES AND ACCESSORIES, DROPPER BOTTLE SYSTEMS AND CONTAINERS WITH CLOSURE SYSTEMS "
16118,A,II,8/23/2002,SCINOPHARM TAIWAN LTD,DANTROLENE SODIUM USP
16119,A,II,8/27/2002,WOCKHARDT LTD,BETHANECHOL CHLORIDE USP
16120,A,II,8/30/2002,MILLICENT HOLDINGS LTD,ESTRADIOL 3 ACETATE
16121,I,III,8/23/2002,CLARIANT CANADA INC,BLUE CLARIANT MASTERBATCHES 04EHD-7206
16122,A,II,9/4/2002,SEVEN STAR PHARMACEUTICAL CO LTD,GUAIFENESIN USP
16123,I,II,9/6/2002,REPLIGEN CORP,RG2133(TRIACETYL URIDINE) DRUG SUBSTANCE
16124,A,II,9/6/2002,EMCURE PHARMACEUTICALS LTD,LEFLUNOMIDE USP
16125,I,II,9/6/2002,TEVA PHARMACEUTICAL INDUSTRIES LTD,SERTRALINE HYDROCHLORIDE
16126,A,IV,9/6/2002,PETER GREVEN NEDERLAND CV,MAGNESIUM STEARATE 
16127,A,II,9/6/2002,SIEGFRIED EVIONNAZ SA,MEFLOQUINE HYDROCHLORIDE
16128,I,III,9/4/2002,AMPACET CORP,100497 SLIP POLYETHYLENE MASTERBATCH
16129,I,II,9/10/2002,SIGNA SA DE CV,ALENDRONATE SODIUM TRIHYDRATE USP
16130,I,II,9/11/2002,NEULAND LABORATORIES LTD,O-BENZYL ALBUTEROL INTERMEDIATE
16131,I,III,9/3/2002,AMPACET CORP,11070-K SITE 70 POLYETHYLENE MASTERBATCH
16132,I,IV,9/12/2002,QUEST INTERNATIONAL FLAVORS FOOD INGREDIENTS CO,FLAVORS
16133,A,III,9/12/2002,CCC PLASTICS,WHITE MB20-9098 POLYETHYLENE COLOUR CONCENTRATE
16134,A,II,9/13/2002,ORCHID PHARMA LTD,"CEFAZOLIN SODIUM, USP (STERILE BULK)"
16135,A,II,9/16/2002,TEVA PHARMACEUTICAL INDUSTRIES LTD,"MIDODRINE HYDROCHLORIDE, NON-STERILE, BULK DRUG SUBSTANCE"
16136,I,II,9/16/2002,3M PHARMACEUTICALS SBC,"TESTOSTERONE/ESTRADIOL TRANSDERMAL DELIVERY SYSTEMS CHEMISTRY, MANUFACTURING, AND CONTROLS (CMC) AND TOXICOLOGY"
16137,I,III,9/13/2002,LORMAC INDUSTRIAL DISTRIBUTORS LTD,LORMAC POLYETHYLENE PRODUCTS
16138,A,IV,9/23/2002,ROBERTET FLAVORS INC,"ARTIFICIAL PINEAPPLE FLAVOR NV-13,012"
16139,I,II,9/17/2002,PROMETIC BIOSCIENCES LTD,P-AMINOBENZAMIDINE AGAROSE 6XL
16140,A,II,9/19/2002,WAVELENGTH ENTERPRISES LTD,MODAFINIL
16141,I,II,9/19/2002,AIR PRODUCTS AND CHEMICALS INC,SURFYNOL(R) SE SURFACTANT
16142,A,II,9/24/2002,JUBILANT PHARMOVA LTD,LAMOTRIGINE USP
16143,A,II,9/23/2002,DR REDDYS LABORATORIES LTD,RALOXIFENE HYDROCHLORIDE USP
16144,A,II,9/24/2002,TEVA PHARMACEUTICAL INDUSTRIES LTD,ACYCLOVIR
16145,A,II,9/24/2002,SAGE CHEMICALS INC,FENOLDOPAM MESYLATE USP
16146,I,III,9/20/2002,PLASPAK CLOSURES PTY LTD,28 MM CLOSURE
16147,A,II,9/5/2002,MALLADI DRUGS AND PHARMACEUTICALS LTD,D-PSEUDOEPHEDRINE SULFATE 
16148,I,II,9/26/2002,AMRI RENSSELAER INC,PHENOBARBITAL SODIUM USP
16149,I,IV,9/25/2002,INTERNATIONAL SPECIALTY PRODUCTS,GANEX WP-660(VP/1-TRIANCONTENE COPOLYMER)
16150,A,II,9/24/2002,ACETO CORP,LEVOCARNITINE USP
16151,A,II,9/25/2002,TARO PHARMACEUTICAL INDUSTRIES LTD,GABAPENTIN USP   
16152,A,II,9/25/2002,EUROAPI FRANCE,"HYDROXOCOBALAMIN ACETATE PH.EUR.,JP,PYROGEN-FREE"
16153,I,III,9/30/2002,WEST PENN PLASTIC INC,"INJECTION MOLDING USING THERMOPLASTICS, COLORANTS, AND CHEMICAL ADDITIVES"
16154,A,III,9/24/2002,AVIENT CORP,UV ABSORBER PRODUCT NUMBER CC0003827960
16155,I,IV,9/27/2002,THERMAX LTD CHEMICAL DIV,TULSION(R) 335
16156,I,III,10/1/2002,BESPAK INC,ALBUTEROL ACTUATOR-CAP ASSEMBLY
16157,I,III,9/25/2002,GRAHAM PACKAGING CO LP,PLASTIC BOTTLES
16158,I,II,9/30/2002,BECTON DICKINSON AND CO,BD CELL MAB MEDIUM ANIMAL COMPONENT FREE
16159,A,III,9/20/2002,STERI-PLAS PTY LTD,35ML TABLET BOTTLE
16160,A,III,9/23/2002,STERI-PLAS PTY LTD,55ML TABLET BOTTLE
16161,A,III,9/23/2002,STERI-PLAS PTY LTD,45ML TABLET BOTTLE
16162,A,III,9/23/2002,STERI-PLAS PTY LTD,20ML TABLET BOTTLE
16163,A,III,9/24/2002,AVIENT CORP,UV ABSORBER PRODUCT NUMBER CC00003928WE
16164,I,II,9/30/2002,BECTON DICKINSON AND CO,BD CELL MAB MEDIUM SERUM-FREE
16165,I,V,9/17/2002,STERIS ISOMEDIX SERVICES,CONTRACT STERILIZATION FACILITY
16166,A,II,10/1/2002,CAMBREX CHARLES CITY INC,"NICOTINE POLACRILEX, 15%, USP "
16170,I,II,10/2/2002,SAFC BIOSCIENCES INC,"EX-CELL(TM) 302 SERUM-FREE MEDIUM, W/O L-GLUTAMINE "
16171,I,II,10/2/2002,SAFC BIOSCIENCES INC,"EX-CELL(TM) 620-HSF, HYBRIDOMA SERUM-FREE MEDIUM, W/O L-GLUTAMINE"
16172,A,II,9/30/2002,INKE SA,ONDANSETRON BASE
16173,A,III,9/30/2002,NIPRO PHARMA PACKAGING FRANCE,PACKAGING MATERIAL
16174,A,II,9/24/2002,SUN PHARMACEUTICAL INDUSTRIES LTD,FLUVOXAMINE MALEATE USP
16175,I,III,9/27/2002,TOKAI CHEMICAL INDUSTRY CO LTD,PACKAGING MATERIALS
16176,A,II,10/4/2002,CHATTEM CHEMICALS INC,METHAMPHETAMINE HYDROCHLORIDE USP
16177,A,V,9/26/2002,134A CONSORTIUM,"ACCEPTANCE TESTING OF HFA-134A(1,1,1,2-TETRAFLUOROETHANE)"
16178,A,II,10/9/2002,SYNBIAS PHARMA AG,DOXORUBICIN HYDROCHLORIDE
16179,I,II,9/18/2002,CHEMISCHE FABRIK BUDENHEIM KG,DIBASIC SODIUM PHOSPHATE ANHYDROUS
16180,A,II,10/8/2002,DR REDDYS LABORATORIES LTD,SULINDAC USP
16181,I,III,10/8/2002,RIWISA AG,DRY POWDER INHALER
16182,A,III,10/9/2002,SEALED AIR CORP,UNIMARK WINGED SPIKE PORT
16183,I,II,10/14/2002,PEPTISYNTHA SA,ATN 161 BULK DRUG SUBSTANCE
16184,I,II,10/11/2002,MERCK SANTE SAS,CRE 15876/A4 INTERMEDIATE
16185,I,II,10/11/2002,MERCK SANTE SAS,CRE 16257 DRUG SUBSTANCE
16186,A,II,10/8/2002,FUJIFILM IRVINE SCIENTIFIC INC,IS CHO-CD(TM) (L) CATALOG #91119
16187,A,II,10/4/2002,UQUIFA MEXICO SA DE CV,TERBINAFINE HYDROCHLORIDE
16188,I,II,10/4/2002,UQUIFA MEXICO SA DE CV,VENLAFAXINE HYDROCHLORIDE
16189,A,II,10/4/2002,UNICHEM LABORATORIES LTD,MELOXICAM USP
16190,A,IV,10/15/2002,INGREDION INC,"UNIPURE(TM) DW-L, PREGELATINIZED CORN STARCH NF PHEUR "
16191,I,II,9/24/2002,YANCHENG SUHAI PHARMACEUTICAL CO LTD,DOXYCYCLINE HYCLATE USP
16192,I,II,9/26/2002,LONZA AG,SB 200473
16193,A,II,10/17/2002,DR REDDYS LABORATORIES LTD,RAMIPRIL USP 
16194,I,II,10/17/2002,LEK PHARMACEUTICALS DD,DIHYDROERGOTAMINE MESYLATE
16195,I,III,10/17/2002,WIPF AG,POLIALUVEL(R) STERIL OVERWRAP BAG INTENDED FOR DRUG PACKAGING
16196,I,III,8/27/2002,BASF SE,ULTRADUR B 4500 NATURAL
16197,I,III,10/9/2002,COLORS FOR PLASTICS INC,E13210
16198,I,III,10/9/2002,COLORS FOR PLASTICS INC,E13211
16199,I,III,10/9/2002,COLORS FOR PLASTICS INC,S34508
16200,I,II,10/22/2002,VERA LABORATORIES LTD,NAPROXEN SODIUM
16201,A,II,10/14/2002,OLON SPA,KETOTIFEN HYDROGEN FUMARATE
16202,A,III,1/6/2003,JAPAN VILENE CO LTD,MEDICAL BACKING NON-WOVEN FABRIC: EW-4350PE
16203,I,II,10/18/2002,BANYU PHARMACEUTICAL CO LTD,J-107088
16204,I,II,10/22/2002,LEK PHARMACEUTICALS DD,PRAVASTATIN SODIUM
16205,A,II,10/22/2002,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,CLADRIBINE USP
16206,I,II,10/15/2002,ROHIT PLASTICS AND CHEMICALS,CHLORHEXIDINE GLUCONATE 20%
16207,I,II,10/25/2002,VERA LABORATORIES LTD,TRAZODONE HYDROCHLORIDE
16208,A,II,10/25/2002,ALEMBIC PHARMACEUTICALS LTD,FENOFIBRATE USP
16209,I,II,10/24/2002,PISGAH LABS INC,BUTALBITAL USP
16210,A,II,10/23/2002,ZHEJIANG KANGLE PHARMACEUTICAL CO LTD,ACETAMINOPHEN
16211,I,III,9/27/2002,BASF AKTIENGESELLSCHAFT,RONFALIN SCF 34 WHITE 30265
16212,A,II,10/17/2002,UQUIFA MEXICO SA DE CV,KETOCONAZOLE
16213,A,IV,10/22/2002,INTERNATIONAL FLAVORS AND FRAGRANCES INC,"PROTANAL® SODIUM ALGINATE, NF"
16214,I,III,10/25/2002,BOREALIS AG,PACKAGING MATERIAL FB2310
16215,A,II,10/22/2002,ERREGIERRE SPA,NISOLDIPINE
16216,A,III,10/12/2002,PGP GLASS PVT LTD,GLASS CONTAINERS
16217,I,II,10/21/2002,OLON SPA,OXANDROLONE
16218,I,II,10/30/2002,WOCKHARDT LTD,CLARITHROMYCIN
